course_code,course_title,instructor,instructors_full,term,department,workload_avg,teaching_avg,intellectual_avg
AS.305.101.01.FA25,Introduction to Critical Diaspora Studies,"Schrader, Stuart","Schrader, Stuart",2025 Fall,"Critical Study of Racism, Immigration, & Colonialism",3.07,4.27,4.67
AS.305.111.01.SP25,Methods in Critical Diaspora Studies,"Connolly, Nathan","Connolly, Nathan",2025 Spring,ASEN,3.00,5.00,5.00
AS.305.125.01.SP25,Insurgent Interdisciplines: Critical Diaspora Studies in Historical Context,"Hines, Andy","Hines, Andy",2025 Spring,ASEN,2.83,4.83,4.33
AS.305.135.01.FA25,"The Future of Work: AI, Labor, and Migration","Todarello, Josh","Todarello, Josh",2025 Fall,"Critical Study of Racism, Immigration, & Colonialism",2.91,4.83,4.50
AS.305.138.01.FA25,"Internal Colonialism, Migration, and Migrant Communities","Pumar, Enrique","Pumar, Enrique",2025 Fall,"Critical Study of Racism, Immigration, & Colonialism",2.50,4.75,4.25
AS.305.319.01.SP25,Freedom Education: Embodied Speculative History of Maryland Schools for African Americans in the 1800s,"Blanks Jones, Jasmine","Blanks Jones, Jasmine",2025 Spring,ASEN,2.25,5.00,5.00
AS.305.325.01.SP25,Humanities Research Lab: The Black Panther Party and the Politics of Decolonization,"Schrader, Stuart","Schrader, Stuart",2025 Spring,ASEN,3.33,5.00,5.00
