course_code,course_title,instructor,instructors_full,term,department,workload_avg,teaching_avg,intellectual_avg
AS.150.330.01.SP25,"Decisions, Games & Social Choice","Bledin, Justin","Bledin, Justin",2025 Spring,Philosophy,2.94,4.30,4.35
AS.150.332.01.FA25,Ethics and Technology,"Wonderly, Monique","Wonderly, Monique",2025 Fall,Philosophy,2.80,4.87,4.80
AS.150.334.01.SP25,"He Said, She Said: Topics in Feminist Philosophy of Language","Campbell, Elsie","Campbell, Elsie",2025 Spring,Philosophy,3.00,5.00,4.60
AS.150.376.01.SP25,Philosophy of Perception,"Green, E. J.","Green, E. J.",2025 Spring,Philosophy,2.88,4.59,4.65
AS.150.402.01.SP24,Aristotle,"Bett, Richard","Bett, Richard",2024 Spring,Philosophy,3.12,4.18,4.41
AS.150.403.01.FA24,Hellenistic Philosophy,"Bett, Richard","Bett, Richard",2024 Fall,Philosophy,3.00,4.62,4.42
AS.150.406.01.FA24,Tragedy and Living Well,"Lebron, Christopher","Lebron, Christopher",2024 Fall,Philosophy,2.80,4.40,4.20
AS.150.423.01.FA24,Theory of Knowledge,"Goodman, Jeremy","Goodman, Jeremy",2024 Fall,Philosophy,3.00,3.83,4.17
AS.150.426.01.SP25,Philosophy and Disability,"Bok, Hilary","Bok, Hilary",2025 Spring,Philosophy,2.86,4.00,4.29
AS.150.428.01.SP25,Spinoza’s Theological Political Treatise,"Melamed, Yitzhak","Melamed, Yitzhak",2025 Spring,Philosophy,2.88,5.00,4.78
AS.150.435.01.FA25,Philosophy of Cosmology,"Carroll, Sean","Carroll, Sean",2025 Fall,Philosophy,2.96,4.56,4.67
AS.150.439.01.SP24,Catastrophe Ethics,"Rieder, Travis","Rieder, Travis",2024 Spring,Philosophy,2.67,4.64,4.55
AS.150.439.01.FA25,Catastrophe Ethics,"Rieder, Travis","Rieder, Travis",2025 Fall,Philosophy,2.74,4.95,4.63
AS.150.442.01.SP24,The Philosophy of Ludwig Wittgenstein,"Williams, Michael","Williams, Michael",2024 Spring,Philosophy,2.86,4.29,4.43
AS.150.452.01.SP25,Freedom of Will & Moral Responsibility,"Bok, Hilary","Bok, Hilary",2025 Spring,Philosophy,3.33,3.75,4.63
AS.150.469.01.SP24,Immanuel Kant's Political Philosophy,"Allais, Lucy","Allais, Lucy",2024 Spring,Philosophy,2.63,4.88,4.71
AS.150.471.01.SP24,Philosophy and AI,"Gross, Steven","Gross, Steven",2024 Spring,Philosophy,3.00,3.95,4.05
AS.150.471.01.SP25,Philosophy and AI,"Gross, Steven","Gross, Steven",2025 Spring,Philosophy,2.83,4.67,4.82
AS.150.471.01.FA25,Philosophy and AI,"Gross, Steven","Gross, Steven",2025 Fall,Philosophy,2.79,4.57,4.71
AS.150.474.01.SP24,Justice and Health,"Bok, Hilary","Bok, Hilary",2024 Spring,Philosophy,2.43,4.00,4.36
AS.150.479.01.SP25,The Ethics of Making Babies,"Rieder, Travis","Rieder, Travis",2025 Spring,Philosophy,2.78,4.90,4.70
AS.150.482.01.FA24,Food Ethics,"Barnhill, Anne","Barnhill, Anne",2024 Fall,Philosophy,2.58,4.64,4.50
AS.150.489.01.FA25,Spinoza's Philosophy of Mind and Psychology,"Melamed, Yitzhak","Melamed, Yitzhak",2025 Fall,Philosophy,2.78,4.73,4.73
AS.150.494.01.FA24,Being Human,"Lebron, Christopher","Lebron, Christopher",2024 Fall,Philosophy,2.44,4.89,4.63
AS.150.495.01.SP25,Moral Repair,"Wonderly, Monique","Wonderly, Monique",2025 Spring,Philosophy,2.64,4.57,4.62
