code,title,credits,description,fa_tags,distribution,prereq_codes,prereq_text,restrictions,raw_description
AS.381.101,First Year Hindi I,3,"Course focuses on acquisition of additional vocabulary and grammatical structures in culturally authentic contexts, listening, speaking, reading, and writing comprehension. No Satisfactory/ Unsatisfactory","FA3, FA4",,,,,"AS.381.101.
First Year Hindi I.
3 Credits.
Course focuses on acquisition of additional vocabulary and grammatical structures in culturally authentic contexts, listening, speaking, reading, and writing comprehension. No Satisfactory/ Unsatisfactory
AS Foundational Abilities: Culture and Aesthetics (FA3),
Citizens and Society (FA4)
EN Foundational Abilities: Creative Expression (FA3),
Engagement with Society (FA4)"
AS.381.102,First Year Hindi II,3,"This course prepares students to function in everyday situations in the Hindi speaking world. Focuses on the acquisition of basic vocabulary and grammatical structures in culturally authentic contexts through listening, speaking, reading, and writing comprehension. Hindi reading and writing is taught in its original Dayva-nagari script. Oral-aural drills in class and work in the Language Lab is required.","FA3, FA4",,AS.381.101,"AS.381.101
or instructor permission",,"AS.381.102.
First Year Hindi II.
3 Credits.
This course prepares students to function in everyday situations in the Hindi speaking world. Focuses on the acquisition of basic vocabulary and grammatical structures in culturally authentic contexts through listening, speaking, reading, and writing comprehension. Hindi reading and writing is taught in its original Dayva-nagari script. Oral-aural drills in class and work in the Language Lab is required.
Prerequisite(s):
AS.381.101
or instructor permission
AS Foundational Abilities: Culture and Aesthetics (FA3),
Citizens and Society (FA4)
EN Foundational Abilities: Creative Expression (FA3),
Engagement with Society (FA4)"
AS.381.201,Second Year Hindi I,3,Course provides refinement of basic language skills in cultural context. Emphasis will be on expansion of vocabulary and grammatical structures and further development of communicative skills.,"FA3, FA4",Humanities,AS.381.102,"AS.381.102
or equivalent",,"AS.381.201.
Second Year Hindi I.
3 Credits.
Course provides refinement of basic language skills in cultural context. Emphasis will be on expansion of vocabulary and grammatical structures and further development of communicative skills. Recommended Course Background:
AS.381.101
, AS.382.102
Prerequisite(s):
AS.381.102
or equivalent
Distribution Area: Humanities
AS Foundational Abilities: Culture and Aesthetics (FA3),
Citizens and Society (FA4)
EN Foundational Abilities: Creative Expression (FA3),
Engagement with Society (FA4)"
AS.381.202,Second Year Hindi II,3,"Course provides refinement of basic language skills in cultural context. Emphasis will be on expansion of vocabulary and grammatical structures and further development of communicative skills. Continuation of
AS.381.201
.",FA3,Humanities,AS.381.201,"AS.381.201
or instructor permission",,"AS.381.202.
Second Year Hindi II.
3 Credits.
Course provides refinement of basic language skills in cultural context. Emphasis will be on expansion of vocabulary and grammatical structures and further development of communicative skills. Continuation of
AS.381.201
. Recommended Course Background:
AS.381.201
or permission required.
Prerequisite(s):
AS.381.201
or instructor permission
Distribution Area: Humanities
AS Foundational Abilities: Culture and Aesthetics (FA3)
EN Foundational Abilities: Creative Expression (FA3)"
