course_code,course_title,instructor,instructors_full,term,department,workload_avg,teaching_avg,intellectual_avg
AS.191.233.01.FA24,Collective Action and Organization Strategy in the U.S.,"Smithson-Stanley, Lynsy","Smithson-Stanley, Lynsy",2024 Fall,Political Science,3.00,4.87,4.67
AS.191.282.01.SP24,Jazz and the City,"Gaines, Kory","Gaines, Kory",2024 Spring,Political Science,2.73,4.09,4.27
AS.191.311.01.SP25,Politics and the Secular Apocalypse,"Scott, Henry","Scott, Henry",2025 Spring,Political Science,3.44,4.70,4.33
AS.191.335.01.FA24,Arab-Israeli Conflict,"Freedman, Robert","Freedman, Robert",2024 Fall,Political Science,2.71,4.14,4.14
AS.191.335.01.FA25,Arab-Israeli Conflict,"Freedman, Robert","Freedman, Robert",2025 Fall,Political Science,3.50,4.57,4.86
AS.191.345.01.FA24,Russian Foreign Policy,"Freedman, Robert","Freedman, Robert",2024 Fall,Political Science,3.31,4.38,4.33
AS.191.345.01.FA25,Russian Foreign Policy,"Freedman, Robert","Freedman, Robert",2025 Fall,Political Science,3.50,4.55,4.20
