course_code,course_title,instructor,instructors_full,term,department,workload_avg,teaching_avg,intellectual_avg
AS.377.115.01.FA24,First Year Russian,"Juharyan, Victoria","Juharyan, Victoria",2024 Fall,Russian,3.20,4.80,4.80
AS.377.116.01.SP24,First Year Russian II,"Kaplun, Irina","Kaplun, Irina",2024 Spring,Russian,3.00,5.00,5.00
AS.377.116.01.SP25,First Year Russian II,"Juharyan, Victoria","Juharyan, Victoria",2025 Spring,Russian,2.67,5.00,5.00
AS.377.215.01.FA24,Second Year Russian,"Juharyan, Victoria","Juharyan, Victoria",2024 Fall,Russian,3.00,4.60,4.80
AS.377.215.01.FA25,Second Year Russian,"Juharyan, Victoria","Juharyan, Victoria",2025 Fall,Russian,2.75,4.60,4.60
AS.377.216.01.SP24,Second Year Russian II,"Kaplun, Irina","Kaplun, Irina",2024 Spring,Russian,3.00,4.50,4.50
AS.377.254.01.SP25,19th Century Russian Literature: German Idealism and Russian Realism,"Juharyan, Victoria","Juharyan, Victoria",2025 Spring,Russian,2.44,4.33,4.22
AS.377.264.01.FA25,"Disciplines Without Borders’ and Multidisciplinarity in Literature, Art, and Science","Juharyan, Victoria","Juharyan, Victoria",2025 Fall,Russian,3.67,4.22,4.00
AS.377.315.01.FA25,Third Year Russian,"Juharyan, Victoria","Juharyan, Victoria",2025 Fall,Russian,2.60,4.17,4.17
