course_code,course_title,instructor,instructors_full,term,department,workload_avg,teaching_avg,intellectual_avg
AS.361.100.01.SP24,"Introduction to Latin American, Caribbean, and Latinx Studies","Cotler, Angelina","Cotler, Angelina",2024 Spring,Latin American Studies,2.65,4.28,3.94
AS.361.100.01.SP25,"Introduction to Latin American, Caribbean, and Latinx Studies","Cotler, Angelina","Cotler, Angelina",2025 Spring,Latin American Studies,2.38,4.35,4.18
AS.361.200.01.SP24,"Popular Music in Latin America: Dissent, Resistance, Tranformation","Noah, Marcelo","Noah, Marcelo",2024 Spring,Latin American Studies,2.80,4.67,4.64
