code,title,credits,description,fa_tags,distribution,prereq_codes,prereq_text,restrictions,raw_description
AS.370.115,First Year American Sign Language,3,"Designed for students who have no previous knowledge of ASL. Students will learn fingerspelling, words, facial expressions, and classifiers to be able to communicate at a basic level with other signers. The curriculum will cover sentence structures such as questions, commands, and other conversational phrases. Mastery will include knowledge of Deaf community and Deaf cultural practices.","FA3, FA4",,,,,"AS.370.115.
First Year American Sign Language.
3 Credits.
Designed for students who have no previous knowledge of ASL. Students will learn fingerspelling, words, facial expressions, and classifiers to be able to communicate at a basic level with other signers. The curriculum will cover sentence structures such as questions, commands, and other conversational phrases. Mastery will include knowledge of Deaf community and Deaf cultural practices.
AS Foundational Abilities: Culture and Aesthetics (FA3),
Citizens and Society (FA4)
EN Foundational Abilities: Creative Expression (FA3),
Engagement with Society (FA4)"
AS.370.116,First Year American Sign Language II,3,"This course is a continuation of
AS.370.115
. Students will improve their knowledge of fingerspelling, words, facial expressions, and classifiers to be able to communicate at a basic level with other signers. Curriculum focus will continue to build on sentence structures such as questions, commands, and other conversational phrases. Mastery will include knowledge of Deaf community and Deaf cultural practices.","FA3, FA4",,AS.370.115,AS.370.115,,"AS.370.116.
First Year American Sign Language II.
3 Credits.
This course is a continuation of
AS.370.115
. Students will improve their knowledge of fingerspelling, words, facial expressions, and classifiers to be able to communicate at a basic level with other signers. Curriculum focus will continue to build on sentence structures such as questions, commands, and other conversational phrases. Mastery will include knowledge of Deaf community and Deaf cultural practices.
Prerequisite(s):
AS.370.115
AS Foundational Abilities: Culture and Aesthetics (FA3),
Citizens and Society (FA4)
EN Foundational Abilities: Creative Expression (FA3),
Engagement with Society (FA4)"
AS.370.215,Second Year American Sign Language,3,"In second year ASL, students will build on their base knowledge of ASL by continuing to learn new vocabulary and grammar patterns. Students will deepen their understanding of ASL by practicing long-form conversations, telling stories about their life, and discussing deaf culture. The class will also investigate and analyze Deaf culture phenomena by connecting with Deaf people, reading books written by Deaf community members, and examining the Deaf online presence.","FA3, FA4",Humanities,AS.370.116,AS.370.116,,"AS.370.215.
Second Year American Sign Language.
3 Credits.
In second year ASL, students will build on their base knowledge of ASL by continuing to learn new vocabulary and grammar patterns. Students will deepen their understanding of ASL by practicing long-form conversations, telling stories about their life, and discussing deaf culture. The class will also investigate and analyze Deaf culture phenomena by connecting with Deaf people, reading books written by Deaf community members, and examining the Deaf online presence.
Prerequisite(s):
AS.370.116
Distribution Area: Humanities
AS Foundational Abilities: Culture and Aesthetics (FA3),
Citizens and Society (FA4)
EN Foundational Abilities: Creative Expression (FA3),
Engagement with Society (FA4)"
AS.370.216,Second Year American Sign Language II,3,"This course is a continuation of
AS.370.215
which builds on base knowledge and understanding of ASL.","FA3, FA4",Humanities,AS.370.215,AS.370.215,,"AS.370.216.
Second Year American Sign Language II.
3 Credits.
This course is a continuation of
AS.370.215
which builds on base knowledge and understanding of ASL.
Prerequisite(s):
AS.370.215
Distribution Area: Humanities
AS Foundational Abilities: Culture and Aesthetics (FA3),
Citizens and Society (FA4)
EN Foundational Abilities: Creative Expression (FA3),
Engagement with Society (FA4)"
AS.370.315,Third Year American Sign Language,3,"This third-year ASL course builds on previous study to refine fluency, expand vocabulary, and enhance expressive and receptive skills.","FA3, FA4",Humanities,AS.370.216,AS.370.216,,"AS.370.315.
Third Year American Sign Language.
3 Credits.
This third-year ASL course builds on previous study to refine fluency, expand vocabulary, and enhance expressive and receptive skills.
Prerequisite(s):
AS.370.216
Distribution Area: Humanities
AS Foundational Abilities: Culture and Aesthetics (FA3),
Citizens and Society (FA4)
EN Foundational Abilities: Creative Expression (FA3),
Engagement with Society (FA4)"
AS.370.602,American English Pronunciation,3,"This course focuses on improving students' perception and pronunciation of American English through learning articulation, phonetics, and phonology. Students learn the basics of anatomy of speech production in order to understand how difficult sounds and sound contrasts are made. Students also learn the International Phonetic Alphabet (IPA) to help them distinguish sound contrasts that are difficult depending on the individual students' native languages. Moving beyond individual sounds, students learn how sounds change depending on what word or phrase they appear in and when they appear in fast or colloquial speech. Finally, students learn and practice intonation appropriate for various types of statements and questions.",,,,,,"AS.370.602.
American English Pronunciation.
3 Credits.
This course focuses on improving students' perception and pronunciation of American English through learning articulation, phonetics, and phonology. Students learn the basics of anatomy of speech production in order to understand how difficult sounds and sound contrasts are made. Students also learn the International Phonetic Alphabet (IPA) to help them distinguish sound contrasts that are difficult depending on the individual students' native languages. Moving beyond individual sounds, students learn how sounds change depending on what word or phrase they appear in and when they appear in fast or colloquial speech. Finally, students learn and practice intonation appropriate for various types of statements and questions."
AS.370.603,Public Speaking in Academia,3,"This course is intended for international Teaching Assistants (ITAs) with advanced English skills and satisfactory pronunciation who wish to further improve their communication and public speaking skills, as well as better understand the cultural norms of the American academia. Students refine their pronunciation and intonation, practice designing and giving presentations, learn the basics of conversation and e-mail etiquette in America, as well as the norms of interacting with college students, professors, and colleagues in various academic situations such as classes, office hours, lab meetings, and scientific meetings. This course is appropriate as a follow-up to American English Pronunciation (AS 370.602) or as a stand-alone course for students with satisfactory pronunciation. This course can also be repeated for additional practice or taken concurrently with American English Pronunciation.",,,,,,"AS.370.603.
Public Speaking in Academia.
3 Credits.
This course is intended for international Teaching Assistants (ITAs) with advanced English skills and satisfactory pronunciation who wish to further improve their communication and public speaking skills, as well as better understand the cultural norms of the American academia. Students refine their pronunciation and intonation, practice designing and giving presentations, learn the basics of conversation and e-mail etiquette in America, as well as the norms of interacting with college students, professors, and colleagues in various academic situations such as classes, office hours, lab meetings, and scientific meetings. This course is appropriate as a follow-up to American English Pronunciation (AS 370.602) or as a stand-alone course for students with satisfactory pronunciation. This course can also be repeated for additional practice or taken concurrently with American English Pronunciation."
AS.370.604,Advanced Grammar and Academic Writing,3,"In this course, students will read and analyze the content, structure, and style of a wide range of academic and professional writing in order to improve their own essays, articles, reports, theses,  critiques, and proposals using those features. They will learn to explain, support, compare and argue their ideas effectively through attention to organization, vocabulary, and style. Grammar will be infused into the course as it applies to revision and editing of written work and consistency within various types of writing. Students will use a variety of strategies to improve skills in idea development, organization, word choice, sentence fluency, voice, grammar and mechanics. Writing tasks will be integrated with content, vocabulary, and grammar from various texts.",,,,,,"AS.370.604.
Advanced Grammar and Academic Writing.
3 Credits.
In this course, students will read and analyze the content, structure, and style of a wide range of academic and professional writing in order to improve their own essays, articles, reports, theses,  critiques, and proposals using those features. They will learn to explain, support, compare and argue their ideas effectively through attention to organization, vocabulary, and style. Grammar will be infused into the course as it applies to revision and editing of written work and consistency within various types of writing. Students will use a variety of strategies to improve skills in idea development, organization, word choice, sentence fluency, voice, grammar and mechanics. Writing tasks will be integrated with content, vocabulary, and grammar from various texts."
